User ,Agent,Intent,Slot,User Sentiment
25,25,25,25,25
I wanna buy a phone which fulfills all my requirements.,What are your basic needs?,Phn_SelReq,null,Neu
Camera should be excellent,Model Y67 by Vivo has very good camera.,Slt_Info,"P_Camera-Good,S_Camera-Good",Neu
How much storage does it offer?,It has 4 GB Internal RAM and 32 GB RAM,Query_Slot,null,Neu
And how about the Camera?,The camera Quality is 13 MP for primary and 16 MP for Secondary,Query_Slot,null,Neu
"Oh, that’s great. How much is the price?",The price is 270 Euro,Query_Slot,null,Neu
What other phones do you have if I want more storage?,4 GB Internal RAM and 32 GB RAM is more than enough to solve your purpose. You won't require much space.,Slt_Info,"RAM-Good,Internal_RAM-Good",Neu
Still 32 GB seems too less as I watch lot of movies after downloading them in my phone so need more space.,You can take V5 Plus by Vivo,Feedback,null,Neg
How much storage does it offer?,It has got the storage of $R$ GB RAM and $IR$ GB internal RAM,Query_Slot,null,Neu
How much is it for?,It’s for 450 Euro,Query_Slot,null,Neu
"Okay, can you pack this phone?",Ok booking confirmed,Booking_Req,null,Neu
Thanks for help,Welcome,Gratitude,null,Pos
26,26,26,26,26
"Hello, I want a Mobile Phone.","Hello, Sure we have many mobiles available in our store. Do you have any specific requirements?",Phn_SelReq,null,Neu
"Yes, the Phone should have a good battery and memory.",Xplay6 by Vivo has very good battery life of 4080 mAH and RAM of 6 GB.,Slt_Info,"Battery-Good,RAM-Good",Neu
What is it's colour?,It's Gold in color.,Query_Slot,null,Neu
oh! But I am looking for a silver colour phone.,Gold color has been preferred by many of our customers. This phone is getting very good reviews,Slt_Info,Color-Silver,Neg
What does it cost?,Price is 700 Euro.,Query_Slot,null,Neu
"Ok, book this one for me.","Yeah Sure, Completing the booking process . Its done. Your Ref no. is 1212_26",Booking_Req,null,Neu
Thanks for helping me.,Welcome anytime,Gratitude,null,Pos
27,27,27,27,27
"Hello, I want a reliable phone as I do most of my office work on the phone.","Sure, is there any other feature you want in your phone?",Phn_SelReq,null,Neu
"Yes, the display size should be big and the battery should last long as I travel a lot.","Well, then iPhone 7 Plus by Apple will be perfect for you as it has screen size of 401 and battery lasts for two days",Slt_Info,"Battery-Good,Display_Size-Big",Neu
What is it's weight?,It is 188gms,Query_Slot,null,Neu
"oh, that's a bit heavy. Can you suggest some other phone with a lightweight.","Sir, it's not that heavy and this phone is getting very good review",Slt_Info,Weight_g-Light,Neg
"Yes I understand your point but still, I would prefer a lightweight phone.",Then you should go for Zenfone 2 Deluxe ZE551ML by Asus. It is light weight and also has large screen size,Feedback,null,Neg
What is it's colour?,It's available in white.,Query_Slot,null,Neu
I will take it then.,"Sure, I am booking this for you and your reference number is 1212_27",Booking_Req,null,Neu
Thannks a ton. You have been very helpful.,My pleasure,Gratitude,null,Pos
28,28,28,28,28
"Hey, I want to buy a phone.",Any specific phone you want?,Phn_SelReq,null,Neu
I want to buy Paradise by HTC.,"Sure, sorry sir this phone is out of stock in our store. But We have Desire 10 Pro by HTC. It is also a very good phone. It has very good camera.",Slt_Info,"Brand-HTC,Model-Paradise",Neu
How is the camera quality?,Front camera is 20 MP and back camera is 13 MP.,Query_Slot,null,Neu
That's very good. What is it's display screen size?,It is 400 pixel,Query_Slot,null,Neu
what is it's colour?,It's stone black.,Query_Slot,null,Neu
"oh, this colour is not of my liking. I want it in blue.",Black looks stylish and many customers are prefering black over other color,Slt_Info,Color-Blue,Neg
